"","X","rep","year","week","sero","disease","rate","type","total_pop","n_infected","n_symptomatic","actual_sero","elim"
"1",1,1,1,1,0.6,0,1,"propagule",2740,0,0,0.594525547445255,"True"
"2",2,1,1,2,0.6,0,1,"propagule",2711,0,0,0.597934341571376,"True"
"3",3,1,1,3,0.6,0,1,"propagule",2622,0,0,0.597254004576659,"True"
"4",4,1,1,4,0.6,0,1,"propagule",2612,0,0,0.597243491577335,"True"
"5",5,1,1,5,0.6,0,1,"propagule",2517,0,0,0.598331346841478,"True"
"6",6,1,1,6,0.6,0,1,"propagule",2485,0,0,0.600804828973843,"True"
"7",7,1,1,7,0.6,0,1,"propagule",2407,0,0,0.603240548400499,"True"
"8",8,1,1,8,0.6,0,1,"propagule",2382,0,0,0.60495382031906,"True"
"9",9,1,1,9,0.6,0,1,"propagule",2347,0,0,0.603323391563698,"True"
"10",10,1,1,10,0.6,0,1,"propagule",2303,0,0,0.603994789405124,"True"
"11",11,1,1,11,0.6,0,1,"propagule",2268,0,0,0.602292768959436,"True"
"12",12,1,1,12,0.6,0,1,"propagule",2225,0,0,0.604044943820225,"True"
"13",13,1,1,13,0.6,0,1,"propagule",2194,0,0,0.603463992707384,"True"
"14",14,1,1,14,0.6,0,1,"propagule",2168,0,0,0.605166051660517,"True"
"15",15,1,1,15,0.6,0,1,"propagule",2145,0,0,0.605128205128205,"True"
"16",16,1,1,16,0.6,0,1,"propagule",2097,0,0,0.606580829756795,"True"
"17",17,1,1,17,0.6,0,1,"propagule",2052,0,0,0.604288499025341,"True"
"18",18,1,1,18,0.6,0,1,"propagule",5933,0,0,0.209000505646385,"True"
"19",19,1,1,19,0.6,0,1,"propagule",5827,0,0,0.212802471254505,"True"
"20",20,1,1,20,0.6,0,1,"propagule",5641,0,0,0.216982804467293,"True"
"21",21,1,1,21,0.6,0,1,"propagule",5474,0,0,0.218487394957983,"True"
"22",22,1,1,22,0.6,0,1,"propagule",5367,0,0,0.222284330165828,"True"
"23",23,1,1,23,0.6,0,1,"propagule",5199,0,0,0.228120792460088,"True"
"24",24,1,1,24,0.6,0,1,"propagule",5100,0,0,0.230196078431373,"True"
"25",25,1,1,25,0.6,0,1,"propagule",4967,0,0,0.234145359371854,"True"
"26",26,1,1,26,0.6,0,1,"propagule",4888,0,0,0.237929623567921,"True"
"27",27,1,1,27,0.6,0,1,"propagule",4772,0,0,0.241617770326907,"True"
"28",28,1,1,28,0.6,0,1,"propagule",4702,0,0,0.242024670353041,"True"
"29",29,1,1,29,0.6,0,1,"propagule",4580,0,0,0.247379912663755,"True"
"30",30,1,1,30,0.6,0,1,"propagule",4434,0,0,0.251465944970681,"True"
"31",31,1,1,31,0.6,0,1,"propagule",4250,0,0,0.256941176470588,"True"
"32",32,1,1,32,0.6,0,1,"propagule",4179,0,0,0.260110074180426,"True"
"33",33,1,1,33,0.6,0,1,"propagule",4077,0,0,0.265145940642629,"True"
"34",34,1,1,34,0.6,0,1,"propagule",3985,0,0,0.266499372647428,"True"
"35",35,1,1,35,0.6,0,1,"propagule",3860,0,0,0.529274611398964,"True"
"36",36,1,1,36,0.6,0,1,"propagule",3792,0,0,0.532964135021097,"True"
"37",37,1,1,37,0.6,0,1,"propagule",3721,0,0,0.53453372749261,"True"
"38",38,1,1,38,0.6,0,1,"propagule",3703,0,0,0.535241695922225,"True"
"39",39,1,1,39,0.6,0,1,"propagule",3633,0,0,0.538948527387834,"True"
"40",40,1,1,40,0.6,0,1,"propagule",3583,0,0,0.541166620150712,"True"
"41",41,1,1,41,0.6,0,1,"propagule",3826,0,0,0.539989545216937,"True"
"42",42,1,1,42,0.6,0,1,"propagule",3848,0,0,0.540800415800416,"True"
"43",43,1,1,43,0.6,0,1,"propagule",3826,0,0,0.542341871406168,"True"
"44",44,1,1,44,0.6,0,1,"propagule",3831,0,0,0.542156095014357,"True"
"45",45,1,1,45,0.6,0,1,"propagule",3790,0,0,0.536939313984169,"True"
"46",46,1,1,46,0.6,0,1,"propagule",3580,0,0,0.537709497206704,"True"
"47",47,1,1,47,0.6,0,1,"propagule",3520,0,0,0.540909090909091,"True"
"48",48,1,1,48,0.6,0,1,"propagule",3482,0,0,0.543940264215968,"True"
"49",49,1,1,49,0.6,0,1,"propagule",3434,0,0,0.544554455445545,"True"
"50",50,1,1,50,0.6,0,1,"propagule",3413,0,0,0.546440082039262,"True"
"51",51,1,1,51,0.6,0,1,"propagule",3373,0,0,0.546101393418322,"True"
"52",52,1,1,52,0.6,0,1,"propagule",3326,0,0,0.548406494287432,"True"
"53",53,1,2,1,0.6,0,1,"propagule",3287,3,0,0.550045634317006,"False"
"54",54,1,2,2,0.6,0,1,"propagule",3234,3,0,0.549474335188621,"False"
"55",55,1,2,3,0.6,0,1,"propagule",3200,3,1,0.5515625,"False"
"56",56,1,2,4,0.6,0,1,"propagule",3163,3,2,0.550110654441985,"False"
"57",57,1,2,5,0.6,0,1,"propagule",3141,3,2,0.552371856096784,"False"
"58",58,1,2,6,0.6,0,1,"propagule",3102,2,2,0.553191489361702,"False"
"59",59,1,2,7,0.6,0,1,"propagule",3056,1,1,0.554646596858639,"False"
"60",60,1,2,8,0.6,0,1,"propagule",3023,0,0,0.55838570956004,"False"
"61",61,1,2,9,0.6,0,1,"propagule",3006,0,0,0.560878243512974,"False"
"62",62,1,2,10,0.6,0,1,"propagule",2969,0,0,0.562142135399124,"False"
"63",63,1,2,11,0.6,0,1,"propagule",2943,0,0,0.561671763506626,"False"
"64",64,1,2,12,0.6,0,1,"propagule",2915,0,0,0.563293310463122,"False"
"65",65,1,2,13,0.6,0,1,"propagule",2884,0,0,0.565187239944521,"False"
"66",66,1,2,14,0.6,0,1,"propagule",2857,0,0,0.563178158907945,"False"
"67",67,1,2,15,0.6,0,1,"propagule",2827,0,0,0.563848602759109,"False"
"68",68,1,2,16,0.6,0,1,"propagule",2788,0,0,0.564203730272597,"False"
"69",69,1,2,17,0.6,0,1,"propagule",2755,0,0,0.566243194192377,"False"
"70",70,1,2,18,0.6,0,1,"propagule",4852,0,0,0.31760098928277,"False"
"71",71,1,2,19,0.6,0,1,"propagule",4762,0,0,0.321293574128517,"False"
"72",72,1,2,20,0.6,0,1,"propagule",4683,0,0,0.323297031817211,"False"
"73",73,1,2,21,0.6,0,1,"propagule",4566,0,0,0.325667980727113,"False"
"74",74,1,2,22,0.6,0,1,"propagule",4465,0,0,0.327883538633819,"False"
"75",75,1,2,23,0.6,0,1,"propagule",4380,0,0,0.331050228310502,"False"
"76",76,1,2,24,0.6,0,1,"propagule",4298,0,0,0.33573755234993,"False"
"77",77,1,2,25,0.6,0,1,"propagule",4249,0,0,0.338667921863968,"False"
"78",78,1,2,26,0.6,0,1,"propagule",4136,0,0,0.344294003868472,"False"
"79",79,1,2,27,0.6,0,1,"propagule",4048,0,0,0.347332015810277,"False"
"80",80,1,2,28,0.6,0,1,"propagule",3958,0,0,0.350934815563416,"False"
"81",81,1,2,29,0.6,0,1,"propagule",3898,0,0,0.355310415597742,"False"
"82",82,1,2,30,0.6,0,1,"propagule",3850,0,0,0.357922077922078,"False"
"83",83,1,2,31,0.6,0,1,"propagule",3807,0,0,0.360651431573417,"False"
"84",84,1,2,32,0.6,0,1,"propagule",3757,0,0,0.362789459675273,"False"
"85",85,1,2,33,0.6,0,1,"propagule",3703,0,0,0.365109370780448,"False"
"86",86,1,2,34,0.6,0,1,"propagule",3634,0,0,0.369565217391304,"False"
"87",87,1,2,35,0.6,0,1,"propagule",3528,0,0,0.629818594104308,"False"
"88",88,1,2,36,0.6,0,1,"propagule",3449,0,0,0.63496665700203,"False"
"89",89,1,2,37,0.6,0,1,"propagule",3392,0,0,0.63502358490566,"False"
"90",90,1,2,38,0.6,0,1,"propagule",3351,0,0,0.635034318113996,"False"
"91",91,1,2,39,0.6,0,1,"propagule",3319,0,0,0.635432359144321,"False"
"92",92,1,2,40,0.6,0,1,"propagule",3275,0,0,0.635419847328244,"False"
"93",93,1,2,41,0.6,0,1,"propagule",3547,2,1,0.639695517338596,"False"
"94",94,1,2,42,0.6,0,1,"propagule",3516,2,1,0.63424345847554,"False"
"95",95,1,2,43,0.6,0,1,"propagule",3531,2,2,0.634947606910224,"False"
"96",96,1,2,44,0.6,0,1,"propagule",3502,2,1,0.635922330097087,"False"
"97",97,1,2,45,0.6,0,1,"propagule",3450,2,1,0.634782608695652,"False"
"98",98,1,2,46,0.6,0,1,"propagule",3270,3,1,0.634862385321101,"False"
"99",99,1,2,47,0.6,0,1,"propagule",3219,2,0,0.637154395775085,"False"
"100",100,1,2,48,0.6,0,1,"propagule",3179,1,0,0.637936458005662,"False"
"101",101,1,2,49,0.6,0,1,"propagule",3149,1,0,0.639885677993014,"False"
"102",102,1,2,50,0.6,0,1,"propagule",3106,1,0,0.639729555698648,"False"
"103",103,1,2,51,0.6,0,1,"propagule",3076,1,1,0.641742522756827,"False"
"104",104,1,2,52,0.6,0,1,"propagule",3032,1,1,0.643139841688654,"False"
"105",105,1,3,1,0.6,0,1,"propagule",3008,0,0,0.643617021276596,"False"
"106",106,1,3,2,0.6,0,1,"propagule",2990,0,0,0.643478260869565,"False"
"107",107,1,3,3,0.6,0,1,"propagule",2947,0,0,0.6440447913132,"False"
"108",108,1,3,4,0.6,0,1,"propagule",2912,0,0,0.645260989010989,"False"
"109",109,1,3,5,0.6,0,1,"propagule",2898,0,0,0.644927536231884,"False"
"110",110,1,3,6,0.6,0,1,"propagule",2884,0,0,0.647018030513176,"False"
"111",111,1,3,7,0.6,0,1,"propagule",2852,0,0,0.64656381486676,"False"
"112",112,1,3,8,0.6,0,1,"propagule",2829,0,0,0.647932131495228,"False"
"113",113,1,3,9,0.6,0,1,"propagule",2800,0,0,0.650714285714286,"False"
"114",114,1,3,10,0.6,0,1,"propagule",2770,0,0,0.654512635379061,"False"
"115",115,1,3,11,0.6,0,1,"propagule",2752,0,0,0.654069767441861,"False"
"116",116,1,3,12,0.6,0,1,"propagule",2725,0,0,0.65651376146789,"False"
"117",117,1,3,13,0.6,0,1,"propagule",2704,0,0,0.657174556213018,"False"
"118",118,1,3,14,0.6,0,1,"propagule",2671,0,0,0.65967802321228,"False"
"119",119,1,3,15,0.6,0,1,"propagule",2649,0,0,0.660626651566629,"False"
"120",120,1,3,16,0.6,0,1,"propagule",2624,0,0,0.663109756097561,"False"
"121",121,1,3,17,0.6,0,1,"propagule",2609,1,0,0.663089306247604,"False"
"122",122,1,3,18,0.6,0,1,"propagule",5615,0,0,0.305788067675868,"False"
"123",123,1,3,19,0.6,0,1,"propagule",5542,0,0,0.30873330927463,"False"
"124",124,1,3,20,0.6,0,1,"propagule",5437,0,0,0.31230457973147,"False"
"125",125,1,3,21,0.6,0,1,"propagule",5355,0,0,0.315592903828198,"False"
"126",126,1,3,22,0.6,0,1,"propagule",5264,0,0,0.31838905775076,"False"
"127",127,1,3,23,0.6,0,1,"propagule",5208,0,0,0.321812596006144,"False"
"128",128,1,3,24,0.6,0,1,"propagule",5086,0,0,0.324616594573339,"False"
"129",129,1,3,25,0.6,0,1,"propagule",4991,0,0,0.32799038268884,"False"
"130",130,1,3,26,0.6,0,1,"propagule",4883,0,0,0.333196805242679,"False"
"131",131,1,3,27,0.6,0,1,"propagule",4808,0,0,0.336314475873544,"False"
"132",132,1,3,28,0.6,0,1,"propagule",4698,1,1,0.339719029374202,"False"
"133",133,1,3,29,0.6,0,1,"propagule",4590,0,0,0.346187363834423,"False"
"134",134,1,3,30,0.6,0,1,"propagule",4490,0,0,0.347884187082405,"False"
"135",135,1,3,31,0.6,0,1,"propagule",4376,0,0,0.350776965265082,"False"
"136",136,1,3,32,0.6,0,1,"propagule",4237,0,0,0.354732121784281,"False"
"137",137,1,3,33,0.6,0,1,"propagule",4153,0,0,0.359739947026246,"False"
"138",138,1,3,34,0.6,0,1,"propagule",4083,0,0,0.364192995346559,"False"
"139",139,1,3,35,0.6,0,1,"propagule",4026,0,0,0.605315449577745,"False"
"140",140,1,3,36,0.6,0,1,"propagule",3943,0,0,0.60841998478316,"False"
"141",141,1,3,37,0.6,0,1,"propagule",3868,0,0,0.610651499482937,"False"
"142",142,1,3,38,0.6,0,1,"propagule",3809,0,0,0.613021790496193,"False"
"143",143,1,3,39,0.6,0,1,"propagule",3766,0,0,0.613648433351036,"False"
"144",144,1,3,40,0.6,0,1,"propagule",3709,0,0,0.614990563494203,"False"
"145",145,1,3,41,0.6,0,1,"propagule",4062,5,3,0.605366814377154,"False"
"146",146,1,3,42,0.6,0,1,"propagule",4061,2,1,0.608717064762374,"False"
"147",147,1,3,43,0.6,0,1,"propagule",4032,3,3,0.607886904761905,"False"
"148",148,1,3,44,0.6,0,1,"propagule",4026,2,1,0.606060606060606,"False"
"149",149,1,3,45,0.6,0,1,"propagule",3996,2,1,0.603353353353353,"False"
"150",150,1,3,46,0.6,0,1,"propagule",3768,0,0,0.609341825902335,"False"
"151",151,1,3,47,0.6,0,1,"propagule",3688,0,0,0.612527114967462,"False"
"152",152,1,3,48,0.6,0,1,"propagule",3605,0,0,0.611650485436893,"False"
"153",153,1,3,49,0.6,0,1,"propagule",3559,0,0,0.614498454622085,"False"
"154",154,1,3,50,0.6,0,1,"propagule",3506,0,0,0.614660581859669,"False"
"155",155,1,3,51,0.6,0,1,"propagule",3448,0,0,0.615139211136891,"False"
"156",156,1,3,52,0.6,0,1,"propagule",3415,0,0,0.615226939970717,"False"
"157",157,1,4,1,0.6,0,1,"propagule",3380,0,0,0.616568047337278,"False"
"158",158,1,4,2,0.6,0,1,"propagule",3343,0,0,0.620699970086748,"False"
"159",159,1,4,3,0.6,0,1,"propagule",3282,0,0,0.619744058500914,"False"
"160",160,1,4,4,0.6,0,1,"propagule",3257,0,0,0.619895609456555,"False"
"161",161,1,4,5,0.6,0,1,"propagule",3209,0,0,0.620130881894671,"False"
"162",162,1,4,6,0.6,0,1,"propagule",3184,1,0,0.621231155778894,"False"
"163",163,1,4,7,0.6,0,1,"propagule",3131,1,0,0.622804215905462,"False"
"164",164,1,4,8,0.6,0,1,"propagule",3094,1,0,0.626050420168067,"False"
"165",165,1,4,9,0.6,0,1,"propagule",3055,1,1,0.629459901800327,"False"
"166",166,1,4,10,0.6,0,1,"propagule",3030,1,1,0.632343234323432,"False"
"167",167,1,4,11,0.6,0,1,"propagule",2994,0,0,0.634602538410154,"False"
"168",168,1,4,12,0.6,0,1,"propagule",2961,0,0,0.638297872340426,"False"
"169",169,1,4,13,0.6,0,1,"propagule",2922,0,0,0.638603696098563,"False"
"170",170,1,4,14,0.6,0,1,"propagule",2895,0,0,0.639378238341969,"False"
"171",171,1,4,15,0.6,0,1,"propagule",2853,0,0,0.639677532422012,"False"
"172",172,1,4,16,0.6,0,1,"propagule",2823,0,0,0.641870350690754,"False"
"173",173,1,4,17,0.6,0,1,"propagule",2779,0,0,0.643396905361641,"False"
"174",174,1,4,18,0.6,0,1,"propagule",5633,0,0,0.313687200426061,"False"
"175",175,1,4,19,0.6,0,1,"propagule",5536,0,0,0.314848265895954,"False"
"176",176,1,4,20,0.6,0,1,"propagule",5432,0,0,0.318667157584683,"False"
"177",177,1,4,21,0.6,0,1,"propagule",5310,1,0,0.32090395480226,"False"
"178",178,1,4,22,0.6,0,1,"propagule",5177,0,0,0.323546455476144,"False"
"179",179,1,4,23,0.6,0,1,"propagule",5043,0,0,0.327384493357129,"False"
"180",180,1,4,24,0.6,0,1,"propagule",4949,0,0,0.330773893715902,"False"
"181",181,1,4,25,0.6,0,1,"propagule",4816,1,0,0.334509966777409,"False"
"182",182,1,4,26,0.6,0,1,"propagule",4691,0,0,0.33894691963334,"False"
"183",183,1,4,27,0.6,0,1,"propagule",4604,1,0,0.345134665508254,"False"
"184",184,1,4,28,0.6,0,1,"propagule",4521,0,0,0.348595443485954,"False"
"185",185,1,4,29,0.6,0,1,"propagule",4430,0,0,0.351918735891648,"False"
"186",186,1,4,30,0.6,0,1,"propagule",4305,0,0,0.35609756097561,"False"
"187",187,1,4,31,0.6,0,1,"propagule",4208,0,0,0.359077946768061,"False"
"188",188,1,4,32,0.6,0,1,"propagule",4120,0,0,0.361650485436893,"False"
"189",189,1,4,33,0.6,0,1,"propagule",4057,0,0,0.364801577520335,"False"
"190",190,1,4,34,0.6,0,1,"propagule",3982,0,0,0.366901054746359,"False"
"191",191,1,4,35,0.6,0,1,"propagule",3896,0,0,0.610626283367556,"False"
"192",192,1,4,36,0.6,0,1,"propagule",3826,0,0,0.612650287506534,"False"
"193",193,1,4,37,0.6,0,1,"propagule",3744,0,0,0.615384615384615,"False"
"194",194,1,4,38,0.6,0,1,"propagule",3706,0,0,0.617377226119806,"False"
"195",195,1,4,39,0.6,0,1,"propagule",3657,0,0,0.616899097621001,"False"
"196",196,1,4,40,0.6,0,1,"propagule",3636,0,0,0.618811881188119,"False"
"197",197,1,4,41,0.6,0,1,"propagule",3977,2,1,0.619059592657782,"False"
"198",198,1,4,42,0.6,0,1,"propagule",4056,4,2,0.622781065088757,"False"
"199",199,1,4,43,0.6,0,1,"propagule",4048,2,1,0.619812252964427,"False"
"200",200,1,4,44,0.6,0,1,"propagule",4026,2,0,0.612767014406359,"False"
"201",201,1,4,45,0.6,0,1,"propagule",3996,0,0,0.618118118118118,"False"
"202",202,1,4,46,0.6,0,1,"propagule",3746,0,0,0.618259476775227,"False"
"203",203,1,4,47,0.6,0,1,"propagule",3663,0,0,0.620529620529621,"False"
"204",204,1,4,48,0.6,0,1,"propagule",3614,0,0,0.624239070282236,"False"
"205",205,1,4,49,0.6,0,1,"propagule",3558,0,0,0.62619449128724,"False"
"206",206,1,4,50,0.6,0,1,"propagule",3498,0,0,0.627215551743854,"False"
"207",207,1,4,51,0.6,0,1,"propagule",3435,0,0,0.627947598253275,"False"
"208",208,1,4,52,0.6,0,1,"propagule",3411,0,0,0.626209322779244,"False"
"209",209,1,5,1,0.6,0,1,"propagule",3358,0,0,0.627754615842764,"False"
"210",210,1,5,2,0.6,0,1,"propagule",3324,0,0,0.629663056558363,"False"
"211",211,1,5,3,0.6,0,1,"propagule",3292,0,0,0.631530984204131,"False"
"212",212,1,5,4,0.6,0,1,"propagule",3247,0,0,0.635047736372036,"False"
"213",213,1,5,5,0.6,0,1,"propagule",3208,0,0,0.63715710723192,"False"
"214",214,1,5,6,0.6,0,1,"propagule",3180,0,0,0.636163522012579,"False"
"215",215,1,5,7,0.6,0,1,"propagule",3154,0,0,0.639505389980977,"False"
"216",216,1,5,8,0.6,0,1,"propagule",3125,0,0,0.63904,"False"
"217",217,1,5,9,0.6,0,1,"propagule",3095,0,0,0.639418416801292,"False"
"218",218,1,5,10,0.6,0,1,"propagule",3069,0,0,0.64059954382535,"False"
"219",219,1,5,11,0.6,0,1,"propagule",3030,0,0,0.643564356435644,"False"
"220",220,1,5,12,0.6,0,1,"propagule",3007,0,0,0.64216827402727,"False"
"221",221,1,5,13,0.6,0,1,"propagule",2968,0,0,0.643867924528302,"False"
"222",222,1,5,14,0.6,0,1,"propagule",2944,0,0,0.644021739130435,"False"
"223",223,1,5,15,0.6,0,1,"propagule",2912,0,0,0.645604395604396,"False"
"224",224,1,5,16,0.6,0,1,"propagule",2883,0,0,0.647936177592785,"False"
"225",225,1,5,17,0.6,0,1,"propagule",2850,0,0,0.649122807017544,"False"
"226",226,1,5,18,0.6,0,1,"propagule",6102,0,0,0.304162569649295,"False"
"227",227,1,5,19,0.6,0,1,"propagule",6000,0,0,0.306666666666667,"False"
"228",228,1,5,20,0.6,0,1,"propagule",5885,1,0,0.309940526762957,"False"
"229",229,1,5,21,0.6,0,1,"propagule",5764,0,0,0.314018043025677,"False"
"230",230,1,5,22,0.6,0,1,"propagule",5609,0,0,0.317347120698877,"False"
"231",231,1,5,23,0.6,0,1,"propagule",5492,0,0,0.321558630735615,"False"
"232",232,1,5,24,0.6,0,1,"propagule",5382,0,0,0.323114083983649,"False"
"233",233,1,5,25,0.6,0,1,"propagule",5230,0,0,0.3282982791587,"False"
"234",234,1,5,26,0.6,0,1,"propagule",5121,0,0,0.330794766647139,"False"
"235",235,1,5,27,0.6,0,1,"propagule",5001,0,0,0.336732653469306,"False"
"236",236,1,5,28,0.6,0,1,"propagule",4900,0,0,0.341428571428571,"False"
"237",237,1,5,29,0.6,0,1,"propagule",4816,0,0,0.344892026578073,"False"
"238",238,1,5,30,0.6,0,1,"propagule",4729,0,0,0.349333897229858,"False"
"239",239,1,5,31,0.6,0,1,"propagule",4650,0,0,0.353118279569892,"False"
"240",240,1,5,32,0.6,0,1,"propagule",4528,0,0,0.356448763250883,"False"
"241",241,1,5,33,0.6,0,1,"propagule",4413,0,0,0.360072513029685,"False"
"242",242,1,5,34,0.6,0,1,"propagule",4260,0,0,0.363849765258216,"False"
"243",243,1,5,35,0.6,0,1,"propagule",4165,0,0,0.608163265306122,"False"
"244",244,1,5,36,0.6,0,1,"propagule",4102,0,0,0.611409068746953,"False"
"245",245,1,5,37,0.6,0,1,"propagule",4034,0,0,0.613534952900347,"False"
"246",246,1,5,38,0.6,0,1,"propagule",3981,0,0,0.614418487817131,"False"
"247",247,1,5,39,0.6,0,1,"propagule",3937,0,0,0.618491236982474,"False"
"248",248,1,5,40,0.6,0,1,"propagule",3904,0,0,0.621413934426229,"False"
"249",249,1,5,41,0.6,0,1,"propagule",4335,4,0,0.622837370242215,"False"
"250",250,1,5,42,0.6,0,1,"propagule",4388,3,1,0.620100273473108,"False"
"251",251,1,5,43,0.6,0,1,"propagule",4350,2,1,0.619310344827586,"False"
"252",252,1,5,44,0.6,0,1,"propagule",4307,3,0,0.611562572556304,"False"
"253",253,1,5,45,0.6,0,1,"propagule",4271,1,0,0.617419808007492,"False"
"254",254,1,5,46,0.6,0,1,"propagule",4010,0,0,0.616209476309227,"False"
"255",255,1,5,47,0.6,0,1,"propagule",3909,0,0,0.616014325914556,"False"
"256",256,1,5,48,0.6,0,1,"propagule",3846,0,0,0.616744669786791,"False"
"257",257,1,5,49,0.6,0,1,"propagule",3798,0,0,0.615850447604002,"False"
"258",258,1,5,50,0.6,0,1,"propagule",3738,0,0,0.617977528089888,"False"
"259",259,1,5,51,0.6,0,1,"propagule",3693,0,0,0.619550500947739,"False"
"260",260,1,5,52,0.6,0,1,"propagule",3653,0,0,0.621954557897618,"False"
"261",261,1,6,1,0.6,0,1,"propagule",3613,0,0,0.622197619706615,"False"
"262",262,1,6,2,0.6,0,1,"propagule",3573,0,0,0.621886369997201,"False"
"263",263,1,6,3,0.6,0,1,"propagule",3542,0,0,0.623941276115189,"False"
"264",264,1,6,4,0.6,0,1,"propagule",3481,0,0,0.627405917839701,"False"
"265",265,1,6,5,0.6,0,1,"propagule",3446,0,0,0.629715612304121,"False"
"266",266,1,6,6,0.6,0,1,"propagule",3409,0,0,0.630390143737166,"False"
"267",267,1,6,7,0.6,0,1,"propagule",3389,0,0,0.632634995573916,"False"
"268",268,1,6,8,0.6,0,1,"propagule",3345,0,0,0.632286995515695,"False"
"269",269,1,6,9,0.6,0,1,"propagule",3317,0,0,0.632800723545372,"False"
"270",270,1,6,10,0.6,0,1,"propagule",3277,0,0,0.632285627097955,"False"
"271",271,1,6,11,0.6,0,1,"propagule",3244,0,0,0.633785450061652,"False"
"272",272,1,6,12,0.6,0,1,"propagule",3217,0,0,0.634442026732981,"False"
"273",273,1,6,13,0.6,0,1,"propagule",3203,0,0,0.634405245082735,"False"
"274",274,1,6,14,0.6,0,1,"propagule",3161,0,0,0.63619107877254,"False"
"275",275,1,6,15,0.6,0,1,"propagule",3135,0,0,0.637639553429027,"False"
"276",276,1,6,16,0.6,0,1,"propagule",3099,0,0,0.639883833494676,"False"
"277",277,1,6,17,0.6,0,1,"propagule",3075,0,0,0.64130081300813,"False"
"278",278,1,6,18,0.6,0,1,"propagule",6243,0,0,0.314912702226494,"False"
"279",279,1,6,19,0.6,0,1,"propagule",6091,0,0,0.318338532260713,"False"
"280",280,1,6,20,0.6,0,1,"propagule",5958,0,0,0.322087948976166,"False"
"281",281,1,6,21,0.6,0,1,"propagule",5821,0,0,0.325889022504724,"False"
"282",282,1,6,22,0.6,0,1,"propagule",5700,0,0,0.330350877192982,"False"
"283",283,1,6,23,0.6,0,1,"propagule",5589,0,0,0.334049024870281,"False"
"284",284,1,6,24,0.6,0,1,"propagule",5477,0,0,0.335037429249589,"False"
"285",285,1,6,25,0.6,0,1,"propagule",5301,0,0,0.339369930201849,"False"
"286",286,1,6,26,0.6,0,1,"propagule",5168,0,0,0.342879256965944,"False"
"287",287,1,6,27,0.6,0,1,"propagule",5031,0,0,0.347048300536673,"False"
"288",288,1,6,28,0.6,0,1,"propagule",4936,0,0,0.349068071312804,"False"
"289",289,1,6,29,0.6,0,1,"propagule",4829,0,0,0.352661006419549,"False"
"290",290,1,6,30,0.6,0,1,"propagule",4752,0,0,0.355850168350168,"False"
"291",291,1,6,31,0.6,0,1,"propagule",4656,0,0,0.360180412371134,"False"
"292",292,1,6,32,0.6,0,1,"propagule",4584,0,0,0.362565445026178,"False"
"293",293,1,6,33,0.6,0,1,"propagule",4508,1,0,0.364019520851819,"False"
"294",294,1,6,34,0.6,0,1,"propagule",4442,1,1,0.367627194957226,"False"
"295",295,1,6,35,0.6,0,1,"propagule",4356,0,0,0.616620752984389,"False"
"296",296,1,6,36,0.6,0,1,"propagule",4263,0,0,0.620689655172414,"False"
"297",297,1,6,37,0.6,0,1,"propagule",4166,0,0,0.624579932789246,"False"
"298",298,1,6,38,0.6,0,1,"propagule",4114,0,0,0.626154594069033,"False"
"299",299,1,6,39,0.6,0,1,"propagule",4071,0,0,0.628592483419307,"False"
"300",300,1,6,40,0.6,0,1,"propagule",4028,0,0,0.62909632571996,"False"
"301",301,1,6,41,0.6,0,1,"propagule",4438,1,0,0.626408292023434,"False"
"302",302,1,6,42,0.6,0,1,"propagule",4468,3,1,0.628245299910475,"False"
"303",303,1,6,43,0.6,0,1,"propagule",4430,4,0,0.625282167042889,"False"
"304",304,1,6,44,0.6,0,1,"propagule",4388,1,0,0.627848678213309,"False"
"305",305,1,6,45,0.6,0,1,"propagule",4354,3,0,0.62540192926045,"False"
"306",306,1,6,46,0.6,0,1,"propagule",4074,0,0,0.629356897398134,"False"
"307",307,1,6,47,0.6,0,1,"propagule",3988,0,0,0.630391173520562,"False"
"308",308,1,6,48,0.6,0,1,"propagule",3923,0,0,0.634463420851389,"False"
"309",309,1,6,49,0.6,0,1,"propagule",3870,0,0,0.634625322997416,"False"
"310",310,1,6,50,0.6,0,1,"propagule",3808,0,0,0.635504201680672,"False"
"311",311,1,6,51,0.6,0,1,"propagule",3773,0,0,0.637423800689107,"False"
"312",312,1,6,52,0.6,0,1,"propagule",3744,0,0,0.639155982905983,"False"
"313",313,1,7,1,0.6,0,1,"propagule",3718,0,0,0.642549757934373,"False"
"314",314,1,7,2,0.6,0,1,"propagule",3661,0,0,0.646271510516252,"False"
"315",315,1,7,3,0.6,0,1,"propagule",3624,0,0,0.647350993377483,"False"
"316",316,1,7,4,0.6,0,1,"propagule",3588,0,0,0.649386845039019,"False"
"317",317,1,7,5,0.6,0,1,"propagule",3554,0,0,0.651378728193585,"False"
"318",318,1,7,6,0.6,0,1,"propagule",3518,0,0,0.652075042637862,"False"
"319",319,1,7,7,0.6,0,1,"propagule",3479,0,0,0.652486346651337,"False"
"320",320,1,7,8,0.6,0,1,"propagule",3438,0,0,0.652414194299011,"False"
"321",321,1,7,9,0.6,0,1,"propagule",3409,0,0,0.655030800821355,"False"
"322",322,1,7,10,0.6,0,1,"propagule",3375,0,0,0.656888888888889,"False"
"323",323,1,7,11,0.6,0,1,"propagule",3340,0,0,0.657185628742515,"False"
"324",324,1,7,12,0.6,0,1,"propagule",3312,0,0,0.657306763285024,"False"
